VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
658, 39570, -7.7388, -12.16753,  0.52588, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
659, 39532, -7.1486, -12.30937,  0.40137, -2.74414,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.67188, -0.92383, -0.38232,  0.0057, -1.00
660, 39578, -7.86482, -11.83342,  0.52588, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
661, 39570, -7.7388, -12.16753,  0.52588, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
662, 39540, -7.27462, -11.97526,  0.40137, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
663, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
664, 39578, -7.86482, -11.83342,  0.52588, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
665, 39540, -7.27462, -11.97526,  0.40137, -2.67969,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.65625, -0.92383, -0.38232,  0.0057, -1.00
666, 39586, -7.99085, -11.49931,  0.52588, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
667, 39578, -7.86482, -11.83342,  0.52588, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
668, 39549, -7.40065, -11.64115,  0.40137, -2.61328,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.64063, -0.92383, -0.38232,  0.0057, -1.00
669, 39557, -7.52667, -11.30704,  0.40137, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
